4,Name:,Organizational Affiliation,"Optional  (email, Department)",Last Active
A,David Anderson,"Univ. of California, Berkeley (United States)", , 
A,Franklin Antonio,Qualcomm Inc. (United States), , 
A,Michael Aronson,Electronics Packaging Man (United States), , 
A,Michael L. Aronson,Harvard &amp; Smithsonian (United States), , 
A,Aaron Brown,"Univ. of California, San Diego (United States)", , 
A,Sam Chaim-Weismann,"Univ. of California, Berkeley (United States)", , 
A,Maren Cosens,"Univ. of California, San Diego (United States)", , 
A,Frank Drake,SETI Institute (United States), , 
A,Gregory Foote,Univ. of Delaware (United States), , 
A,William F. Hanlon,Harvard-Smithsonian Ctr. for Astrophysics (United States), , 
A,Carolyn M. Heffner,California Institute of Technology (United States), , 
A,Olivier Hervet,Univ. of California (United States), , 
A,John Hoang,-, , 
A,Jamie Holder,Univ. of Delaware (United States), , 
A,Paul Horowitz,Harvard Univ. (United States), , 
A,Andrew Howard,California Institute of Technology (United States), , 
A,Nikolas Korzoun,-, , 
A,Ryan Lee,"Univ. of California, Berkeley (United States)", , 
A,Wei Liu,UC Berkeley, , 
A,Jerome Maire,University of California San Diego, , 
A,Geoffrey W. Marcy,"Univ. of California, Berkeley (United States)", , 
A,Rick Raffanti,Techne Instruments (United States), , 
A,Nicolas Rault-Wang,Space Sciences Lab. (United States), , 
A,Guillaume D. Shippee,University of California San Diego, , 
A,Andrew P. V. Siemion,"Univ. of California, Berkeley (United States)", , 
A,Remington Stone,"Univ. of California Observatories, Lick Observatory (United States)", , 
A,Richard Treffers,Starman Systems (United States), , 
A,Avinash Uttamchandani,"Nonholonomy, LLC (United States)", , 
A,Liu Wei,"Univ. of California, Berkeley (United States)", , 
A,Dan Werthimer,"Univ. of California, Berkeley (United States)", , 
A,James Wiley,University of California San Diego, , 
A,David A. Williams,Univ. of California (United States), , 
A,Shelley Wright,UC San Diego, , 
